TimeCreated,EventId,RecordId,Computer,Channel,Level,UserId,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,RemoteHost,MapDescription
2025-04-15T14:10:07.0000000Z,4648,30032,RD-01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: STARK\tdungan,,,,,,RD-01 (10.0.0.40),Logon with explicit credentials
2025-04-15T14:10:08.0000000Z,4648,30033,RD-01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: STARK\tdungan,,,,,,RD-01 (10.0.0.40),Logon with explicit credentials
2025-04-15T14:10:09.0000000Z,4648,30034,RD-01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: STARK\tdungan,,,,,,RD-01 (10.0.0.40),Logon with explicit credentials
2025-04-15T14:00:00.0000000Z,4624,30035,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:01.0000000Z,4624,30036,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:02.0000000Z,4624,30037,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:03.0000000Z,4624,30038,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:04.0000000Z,4624,30039,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:05.0000000Z,4624,30040,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:06.0000000Z,4624,30041,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:07.0000000Z,4624,30042,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:08.0000000Z,4624,30043,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:09.0000000Z,4624,30044,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:10.0000000Z,4624,30045,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:11.0000000Z,4624,30046,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:12.0000000Z,4624,30047,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:13.0000000Z,4624,30048,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:14.0000000Z,4624,30049,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:15.0000000Z,4624,30050,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:16.0000000Z,4624,30051,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:17.0000000Z,4624,30052,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:18.0000000Z,4624,30053,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:19.0000000Z,4624,30054,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:20.0000000Z,4624,30055,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:21.0000000Z,4624,30056,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:22.0000000Z,4624,30057,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:23.0000000Z,4624,30058,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:24.0000000Z,4624,30059,DC01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: CORP\DC01$,LogonType 3,,,,,- (-),Successful logon
2025-04-15T14:00:00.0000000Z,4624,30060,WORKSTATION-01,Security,Information,S-1-5-21-1111111-2222222-3333333-1107,Target: NT AUTHORITY\SYSTEM,LogonType 5,,,,,- (-),Successful logon
